addr,name,size,factor_a,factor_b,unit,format,description
0x0005,CTSCD_tClntLin,1,1.000000,-41.080000,deg C,6.2f,linearisierter Wert aus HWK vorm Aufruf der Übergangsfunktion
0x000B,BPSCD_pLin,1,10.000000,0.000000,hPa,6.2f,Mittelere Ladedruck-Wert (liniarisiert)
0x000D,VSSCD_vSensVal,1,0.999000,0.000000,km/h,6.2f,Vehicle speed sensed value
0x000F,IATSCD_tAirLin,1,1.000000,-41.080000,deg C,6.2f,linearisierter Wert aus HWK vorm Aufruf der Übergangsfunktion
0x0010,AFSCD_dmAirRawPerTime,1,0.036000,0.000000,Kg/h,6.2f,LMM Luftmassenmesser HFM
0x001C,Signals_PID0x1C_C,1,0.000000,0.000000,-,6.2f,Info für Generic Scan Tool (OBD-Tester) für welche Vorschrift das Fahrzeug appliziert wurde
0x0050,AFSCD_mAirPerCyl,1,0.048820,-1599.000000,mg/Hub,6.2f,angesaugte Luftmasse pro Zylinder
0x0051,AFSCD_rAir,1,0.010000,0.000000,%,6.2f,duty cycle of the air temparature signal
0x0052,AFSCD_dmAirPerTime,1,0.048820,-1599.000000,Kg/h,6.2f,HFM Luftmassenstrom
0x0053,PFlt_lSum_mp,1,1.000000,0.000000,m,6.2f,ges. gefahrene Strecke bei der letzten erfolgr. Regeneration
0x0054,PFlt_pDiff,1,0.125000,0.000000,hPa,6.2f,Differenzdruck über Partikelfilter
0x0055,InjCtl_qCurr,1,0.003051,-99.990000,mg/cyc,6.2f,Einspritzmenge aktueller Wert
0x0059,InjCtl_qSetUnBal,1,0.003051,-99.990000,mg/cyc,6.2f,Einspritzmenge Sollwert ohne Mengenausgleichsregelung
0x005B,FTSCD_tFuel,1,0.016700,-50.130000,deg C,6.2f,Kraftstofftemperatur
0x005F,APPCD_rLinAPP1,1,0.003051,0.000000,%,6.2f,linearisierter APP1
0x0060,APPCD_rLinAPP2,1,0.003051,0.000000,%,6.2f,linearisierter APP2
0x0061,GlwCtl_stLampOut,1,1.000000,0.000000,-,6.2f,Zustand der Glühanzeige
0x0062,GlwCtl_stActrOut,1,1.000000,0.000000,-,6.2f,Ausgang Glührelais
0x0064,APPCD_uRawAPP1,1,0.000611,0.000000,V,6.2f,Fahrpedal 1 Position Rohwert
0x0065,APPCD_uRawAPP2,1,0.000611,0.000000,V,6.2f,Fahrpedal 2 Position Rohwert
0x0066,APPCD_rFlt,1,0.003051,0.000000,%,6.2f,gefiltertes Pedalwertgebersignal
0x0068,PFlt_mSot,1,0.010000,0.000000,g,6.2f,Rußmasse im Partikelfilter
0x006C,PFlt_mAshOil_mp,1,0.010000,0.000000,g,6.2f,Ölaschenmasse
0x006D,PFlt_numEngPOp_mp,1,1.000000,0.000000,-,6.2f,Regeneriermaßnahme aufgrund PFlt- und Motorzustand
0x006E,APSCD_pVal,1,0.125000,0.000000,hPa,6.2f,Atmosphärendruck
0x006F,APSCD_uRaw,1,0.610900,0.000000,mV,6.2f,Rohspannung ADC-Signal Atmosphärendruck
0x0070,PFlt_numRgn_mp,1,1.000000,0.000000,-,6.2f,gesamte Regenerationsanforderung
0x0073,HWEMon_numRecovery,1,1.000000,0.000000,-,6.2f,Herkunft des letzten Reset ( >0 = Recovery )
0x007A,EGRCD_rOut,1,0.010000,0.000000,%,6.2f,Tastverhältnis zür Endstufenansteuerung
0x007B,BPACD_rOut,1,0.010000,0.000000,%,6.2f,Tastverhältnis zür Endstufenansteuerung
0x007E,PFlt_qFl_mp,1,0.010000,0.000000,l,6.2f,verbrauchter Treibstoff seit der letzten erfolgreichen Regeneration
0x0082,AltCD_rAltLoad,1,0.003051,0.000000,%,6.2f,linearisiertes und fehlerentprelltes Generatorlastsignals
0x0088,AirCtl_mDesVal,1,0.048820,-1599.000000,mg/Hub,6.2f,Luftmassensollwert
0x008A,PCR_pDesVal,1,0.125000,0.000000,hPa,6.2f,Ladedrucksollwert
0x008F,CTSCD_uRaw,1,0.610900,0.000000,mV,6.2f,Wassertemperatur Spannungsrohwert
0x0090,CTSCD_tClnt,1,0.016700,-50.130000,deg C,6.2f,Kühlmitteltemperatur
0x0091,Eng_nAvrg,1,0.125000,0.000000,rpm,6.2f,mittlere Motordrehzahl
0x0093,BattCD_u,1,0.002456,0.000000,V,6.2f,Batteriespannung
0x0094,VSSCD_v,1,0.003814,0.000000,km/h,6.2f,Fahrzeuggeschwindigkeit
0x0096,FMTC_trqInr,1,0.114400,-2500.000000,Nm,6.2f,aktuelles rückgerechnetes inneres Motormoment
0x0097,LIGov_trq,1,0.114400,-2500.000000,Nm,6.2f,Leerlaufreglermoment
0x0098,LIGov_nSetpoint,1,0.125000,0.000000,rpm,6.2f,Untergrenze Drehzahlintervall des LIGov
