addr,name,size,factor_a,factor_b,unit,format,description
0x0004,CoEng_rTrq,2,0.393699,0.000000,%,8.4f,Verhältnis aktuelles Moment zu Maximalmoment
0x0005,CTSCD_tClntLin,2,1.000240,-41.084307,deg C,8.3f,linearisierter Wert aus HWK vorm Aufruf der Übergangsfunktion
0x000B,BPSCD_pLin,2,10.002401,0.000000,hPa,8.2f,Mittelere Ladedruck-Wert (liniarisiert)
0x000C,Eng_nAvrg_Carb,2,0.250000,0.000000,rpm,8.2f,Avarage engine speed
0x000D,VSSCD_vSensVal,2,0.999001,0.000000,km/h,8.4f,Vehicle speed sensed value
0x000F,AFSCD_tAir_mp,2,1.000240,-41.084307,deg C,8.3f,linearisierter Wert aus HWK vorm Aufruf der Übergangsfunktion
0x0010,AFSCD_dmAirRawPerTime,2,0.036001,0.000000,Kg/h,8.3f,LMM Luftmassenmesser HFM
0x0021,DSMDur_ctDfctDur11,2,1.000000,0.000000,-,8.2f,OBD: Travelled Distance with MIL on
0x0029,DSM_stSysLamp,2,1.000000,0.000000,-,5.1f,Status of Sys lamp
0x002A,DSM_stMIL,2,1.000000,0.000000,-,5.1f,Status of MIL
0x002B,CTSCD_uRaw,2,0.610958,0.000000,mV,8.1f,Actual Engine Temperature
0x002C,CTSCD_tClnt,2,0.016787,-50.138440,deg C,8.3f,Coolant Temperature
0x002D,Eng_nAvrg,2,0.125002,0.000000,rpm,8.2f,Average engine speed
0x002E,AFSCD_dmAirPerTime,2,0.048829,-1599.971484,Kg/h,8.3f,airmass per unit time
0x002F,BattCD_u,2,0.002456,0.000000,V,8.1f,Battery Voltage
0x0030,VehDa_lSum,2,8196.721311,0.000000,m,13.2f,Driven length
0x0031,LIGov_nSetpoint,2,0.125002,0.000000,rpm,8.2f,Increased Idle Speed
0x0032,VSSCD_v,2,0.003815,0.000000,km/h,8.4f,vehicle speed
0x0033,VSSCD_a,2,0.000305,-9.999899,m/s^2,8.5f,Actual Vehicle Acceleration
0x0034,InjCtl_qSet,2,0.003052,-99.998993,mg/cyc,8.4f,Actual Injection Quantity
0x0035,Rail_dvolMeUnSet,2,10.000000,0.000000,mm3/s,8.1f,flow of fuel set value for MeUn
0x0036,IATSCD_tAirCats,2,0.016787,-50.138440,deg C,8.3f,charge air temperature current value
0x0037,IATSCD_uRaw,2,0.610958,0.000000,mV,8.1f,Actual Intake Air Temperature
0x0038,IATSCD_tAir,2,0.016787,-50.138440,deg C,8.3f,Actual Intake Air Temperature
0x0039,BPSCD_uRawVal,2,0.610958,0.000000,mV,8.1f,Actual Boost Pressure
0x003A,BPSCD_pOutVal,2,0.125002,0.000000,hPa,8.2f,Actual Boost Pressure
0x003B,T15CD_stWakeUpRawVal_mp,2,1.000000,0.000000,-,5.1f,raw value of Wake Up input
0x003C,AccPed_trqDes,2,0.114445,-2500.058653,Nm,8.3f,driver torque raw value of propulsion
0x003E,AddPCD_stCo_mp,2,1.000000,0.000000,-,5.1f,state of AddPCD-statemachine
0x003F,AddPCD_volAddTotFine_mp,2,0.001000,0.000000,ml,13.5f,total injected add.volume fine resolution
0x0040,AddPmp_volAddTotDem,2,0.012500,0.000000,ml,8.3f,total desired additive quantity since last service
0x0041,AirCtl_stAirCtlBits1_mp,2,1.000000,0.000000,-,8.2f,Status of AirCtl as LowWord-LowByte
0x0042,AirCtl_stAirCtlBits1_mp1,2,1.000000,0.000000,-,8.2f,Status of AirCtl as LowWord-HighByte
0x0043,AirCtl_stAirCtlBits2_mp,2,1.000000,0.000000,-,8.2f,Status of AirCtl as HighWord-LowByte
0x0044,AirCtl_stAirCtlBits2_mp1,2,1.000000,0.000000,-,8.2f,Status of AirCtl as HighWord-HighByte
0x0045,MeUn_iSet_mp,2,0.228891,0.000000,mA,8.2f,electrical set value of current for metering unit
0x0046,OCBS_bosbtvfbk,2,1.000000,0.000000,%,5.1f,Output availibility BOS messages
0x0047,OPSCD_stpOEL,2,1.000000,0.000000,-,5.1f,Oil pressure sensor signal
0x0048,APPCD_rLinAPP1,2,0.003052,0.000000,%,8.4f,Accelerator Pedal 1 linearised value in percent
0x0049,APPCD_rLinAPP2,2,0.003052,0.000000,%,8.4f,Accelerator Pedal 2 linearised value in percent
0x004A,FlSys_volDetRefuel,2,0.050000,0.000000,l,8.3f,detected refuel quantity
0x004B,AFSCD_rAir,2,0.010000,0.000000,%,8.4f,Output for HFM6
0x004C,FlSys_volTotalRef_mp,2,0.050000,0.000000,l,8.3f,fuel level before tank stop
0x004D,PCR_stMonitor,2,1.000000,0.000000,-,5.1f,Status of PCR monitoring
0x004E,PFlt_dvol,2,0.100000,0.000000,m^3/h,8.3f,air volume per time unit across particle filter
0x004F,PFlt_facMltCor_mp,2,0.000122,0.000000,-,8.6f,correction factor
0x0050,AFSCD_mAirPerCyl,2,0.048829,-1599.971484,mg/Hub,8.3f,angesaugte Luftmasse pro Zylinder
0x0051,AFSCD_tiRaw,2,0.100000,0.000000,us,8.3f,duty cycle of the air temparature signal
0x0052,AFSCD_dmAirNorm,2,0.048829,-1599.971484,Kg/h,8.3f,HFM Luftmassenstrom
0x0053,PFlt_lSum_mp,2,1.000000,0.000000,m,13.2f,ges. gefahrene Strecke bei der letzten erfolgr. Regeneration
0x0054,PFlt_pDiff,2,0.125002,0.000000,hPa,8.2f,Differenzdruck über Partikelfilter
0x0055,InjCtl_qCurr,2,0.003052,-99.998993,mg/cyc,8.4f,Einspritzmenge aktueller Wert
0x0056,AirCtl_mGvnrDvt,2,0.048829,-1599.971484,mg/Hub,8.3f,Aircontrol governor deviation
0x0057,CoEng_trqInrSet,2,0.114445,-2500.060084,Nm,8.3f,Inner torque set value
0x0058,IndSys_rVSA,2,0.010000,0.000000,%,8.4f,duty-cycle for variable swirl actuator
0x0059,InjCtl_qSetUnBal,2,0.003052,-99.998993,mg/cyc,8.4f,Einspritzmenge Sollwert ohne Mengenausgleichsregelung
0x005A,GlwCD_RawVal_mp,2,1.000000,0.000000,-,5.1f,request to glow-controller - identifier0
0x005B,FTSCD_tFuel,2,0.016787,-50.138440,deg C,8.3f,Kraftstofftemperatur
0x005C,BrkCD_stMnSwtRawVal,2,1.000000,0.000000,-,5.1f,Brake main switch raw value
0x005D,BrkCD_stRedSwtRawVal,2,1.000000,0.000000,-,5.1f,Brake redundant switch raw value
0x005E,ConvCD_stRawVal,2,1.000000,0.000000,-,5.1f,Clutch switch raw value
0x005F,OCBS_bos01_w,2,12.499234,0.000000,km,8.1f,linearisierter APP1
0x0060,OCBS_zrbosmld,2,1.000000,0.000000,-,5.1f,linearisierter APP2
0x0061,GlwCtl_stLampOut,2,1.000000,0.000000,-,5.1f,Zustand der Glühanzeige
0x0062,EBAFCD_stSigOut,2,1.000000,0.000000,-,5.1f,Ausgang Glührelais
0x0063,PFlt_stEngPOp5_mp,2,1.000000,0.000000,-,5.1f,engine state calculated by range check 5
0x0064,APPCD_uRawAPP1,2,0.000611,0.000000,V,8.1f,Fahrpedal 1 Position Rohwert
0x0065,APPCD_uRawAPP2,2,0.000611,0.000000,V,8.1f,Fahrpedal 2 Position Rohwert
0x0066,APPCD_rFlt,2,0.003052,0.000000,%,8.4f,gefiltertes Pedalwertgebersignal
0x0068,PFlt_mSot,2,0.010000,0.000000,g,8.4f,Rußmasse im Partikelfilter
0x0069,PFlt_mSotMeas_mp,2,0.010000,0.000000,g,8.4f,soot mass additive offset corrected
0x006A,PFlt_mSotMeasRaw_mp,2,0.010000,0.000000,g,8.4f,air stream resistance converted to soot mass
0x006B,PFlt_mSotSim_mp,2,0.010000,0.000000,g,8.4f,simulated soot mass
0x006C,PFlt_mAsh_mp,2,0.010000,0.000000,g,8.4f,Ölaschenmasse
0x006D,PFlt_numEngPOp_mp,2,1.000000,0.000000,-,5.1f,Regeneriermaßnahme aufgrund PFlt- und Motorzustand
0x006E,APSCD_pVal,2,0.125002,0.000000,hPa,8.2f,Atmosphärendruck
0x006F,APSCD_uRaw,2,0.610958,0.000000,mV,8.1f,Rohspannung ADC-Signal Atmosphärendruck
0x0070,PFlt_numRgn_mp,2,1.000000,0.000000,-,5.1f,gesamte Regenerationsanforderung
0x0071,PFlt_tPreFlt_mp,2,0.016787,-50.138440,deg C,8.3f,PFlt_tPre PT1 filtered
0x0072,PFlt_vVehFlt_mp,2,0.003815,0.000000,km/h,8.4f,VSSCD_v PT1 filtered
0x0073,HWEMon_numRecovery,2,1.000000,0.000000,-,8.2f,Herkunft des letzten Reset ( >0 = Recovery )
0x0074,Clg_tiDynTst,2,0.010000,0.000000,s,13.4f,actual time of test
0x0075,Clg_dtDynTst,2,0.100000,0.000000,deg C,8.3f,rise in temperature since start of test
0x0076,AFSCD_tiRaw1,2,0.100000,0.000000,us,8.3f,Output for HFM6
0x0077,Clg_tEndDynTst,2,1.000240,-41.084307,deg C,8.3f,CTSCD_tClnt at the end of test
0x0078,IATSCD_uRawCats,2,0.610958,0.000000,mV,8.1f,Output for IATSCD
0x0079,Rail_stCtlLoop,2,1.000000,0.000000,-,5.1f,Output for Rail status
0x007A,EGRCD_rOut,2,0.010000,0.000000,%,8.4f,Tastverhältnis zür Endstufenansteuerung
0x007B,BPACD_rOut,2,0.010000,0.000000,%,8.4f,Tastverhältnis zür Endstufenansteuerung
0x007C,GlwCtl_rPwrOut,2,1.000000,0.000000,-,5.1f,Glühanforderung
0x007D,IATSCD_tAirLinCats,2,0.016787,-50.138440,deg C,8.3f,Charge air temperature without substitute value
0x007E,PFlt_qFl_mp,2,0.010000,0.000000,l,8.4f,verbrauchter Treibstoff seit der letzten erfolgreichen Regeneration
0x007F,MeUnCD_iActFlt_mp,2,0.228891,0.000000,mA,8.2f,actual value of current filtered by metering unit current regulator
0x0080,DSM_ctOBDPath,2,1.000000,0.000000,-,5.1f,Pre Supply Pump output value
0x0081,PSPCD_dvolOut,2,0.208446,-6830.158002,l/h,8.4f,Vorförderpumpe Ansteuertastverhältnis
0x0082,AltCD_rAltLoad,2,0.003052,0.000000,%,8.4f,linearisiertes und fehlerentprelltes Generatorlastsignals
0x0083,CrCtl_vDes,2,0.003815,0.000000,km/h,8.4f,setpoint speed cruise control
0x0084,VehDa_rVn,2,0.000002,0.000000,(km/h)/rpm,9.7f,ratio of vehicle speed to engine speed
0x0085,DSM_stCycles,2,1.000000,0.000000,-,5.1f,Status of DSM trigger cycles
0x0086,DSM_tiDCDelay_mp,2,1.000000,0.000000,-,8.2f,actual time for Dcy delay time
0x0087,DSM_ctTstPath,2,1.000000,0.000000,-,8.2f,Number of in this driving cycle tested  fault paths
0x0088,AirCtl_mDesVal,2,0.048829,-1599.971484,mg/Hub,8.3f,Luftmassensollwert
0x0089,DSM_ctRdyActCyc_mp,2,1.000000,0.000000,-,5.1f,Status for each Readinessbit only in the current driving cycle
0x008A,PCR_pDesVal,2,0.125002,0.000000,hPa,8.2f,Ladedrucksollwert
0x008B,DSM_ctRdyTstCompr_mp,2,1.000000,0.000000,-,5.1f,Number of in this cycle tested fault paths belonging to Readiness Bit Comprehensive Components
0x008C,PFlt_resFlow,2,0.001000,0.000000,hPa/(m^3/h),8.5f,air stream resistance
0x008D,CrCtl_numGear,2,1.000000,0.000000,-,5.1f,gear for cruise control
0x008E,CoEng_stShutOff,2,1.000000,0.000000,-,5.1f,global shut off reasons ( afterrun / reversible / irreversible
0x008F,CoEng_trqInrLtd,2,0.114445,-2500.060084,Nm,8.3f,Wassertemperatur Spannungsrohwert
0x0090,StSys_trqStrt,2,0.114445,-2500.060084,Nm,8.3f,Kühlmitteltemperatur
0x0091,CrCtl_trqDes,2,0.114445,-2500.058653,Nm,8.3f,mittlere Motordrehzahl
0x0092,DSM_ctRdyTstEGR_mp,2,1.000000,0.000000,-,5.1f,Number of in this cycle tested fault paths belonging to Readiness Bit EGR
0x0093,DSM_ctRdyTstFuel_mp,2,1.000000,0.000000,-,5.1f,Batteriespannung
0x0094,CoEng_trqLimMin_mp,2,0.114445,-2500.060084,Nm,8.3f,Fahrzeuggeschwindigkeit
0x0095,CoVM_trqPrpDes,2,0.114445,-2500.058653,Nm,8.3f,desired torque for propulsion
0x0096,FMTC_trqInr,2,0.114445,-2500.060084,Nm,8.3f,aktuelles rückgerechnetes inneres Motormoment
0x0097,LIGov_trq,2,0.114445,-2500.060084,Nm,8.3f,Leerlaufreglermoment
0x0098,DSM_ctRdyTstMisf_mp,2,1.000000,0.000000,-,5.1f,Untergrenze Drehzahlintervall des LIGov
0x0099,AOHt_stShutOff_mp,2,1.000000,0.000000,-,8.2f,overview to all switch off contitions
0x009A,FrmMng_lSum,2,8.000000,0.000000,km,13.2f,Ladelufttemperatur nach Ladeluftkühler
0x009B,OxiCCD_tPre,2,0.016787,-50.138440,deg C,8.3f,Lufttemperatur Spannungsrohwert
0x009C,DSM_stRdyAB,2,1.000000,0.000000,-,8.2f,Ansauglufttemperatur
0x009D,PFltCD_tPre,2,0.016787,-50.138440,deg C,8.3f,Spannungsrohwert des Ladedrucksensors
0x009E,PCVCD_iActVal,2,0.228891,0.000000,mA,8.2f,Ladedruckwert
0x009F,VehDa_tiEngOn,2,99.900100,0.000000,s,13.2f,Erfassung der aktuellen Betriebszeit
0x00A0,Gearbx_swtType,2,1.000000,0.000000,-,5.3f,Abgastemperatur vor Oxidationskatalysator
0x00A1,InjVlv_nCyl1,2,0.125002,0.000000,rpm,8.2f,Abgastemperatur vor Oxidationskatalysator Rohwert
0x00A2,InjVlv_nCyl2,2,0.125002,0.000000,rpm,8.2f,Abgastemp. vor Partikelfilter
0x00A3,InjVlv_nCyl3,2,0.125002,0.000000,rpm,8.2f,Abgastemp. vor Partikelfilter erster Sensor
0x00A4,InjVlv_nCyl4,2,0.125002,0.000000,rpm,8.2f,cylinder specific engine speed for cylinder 4
0x00A5,InjVlv_nCyl5,2,0.125002,0.000000,rpm,8.2f,cylinder specific engine speed for cylinder 5
0x00A6,InjVlv_nCyl6,2,0.125002,0.000000,rpm,8.2f,cylinder specific engine speed for cylinder 6
0x00A7,InjVlv_qFBCCyl1,2,0.003052,-99.998993,mg/hub,8.4f,cylinder specific FBC adjustment quantity for cylinder 1
