Category,Bosch Name,Unit,DDE4 M57 (E39) ADR,DDE4 M57 (E39) FACT_A,DDE4 M57 (E39) FACT_B,DDE5 M57TU (E39/E46) ADR,DDE5 M57TU (E39/E46) FACT_A,DDE5 M57TU (E39/E46) FACT_B,DDE5 M57TU (E53) ADR,DDE5 M57TU (E53) FACT_A,DDE5 M57TU (E53) FACT_B,DDE5 M57TU (E60) ADR,DDE5 M57TU (E60) FACT_A,DDE5 M57TU (E60) FACT_B,DDE6 M57TU2 (E60/E90) ADR,DDE6 M57TU2 (E60/E90) FACT_A,DDE6 M57TU2 (E60/E90) FACT_B,DDE6.2 M57TU2TOP ADR,DDE6.2 M57TU2TOP FACT_A,DDE6.2 M57TU2TOP FACT_B,DDE5 M47TU (E46) ADR,DDE5 M47TU (E46) FACT_A,DDE5 M47TU (E46) FACT_B,DDE5 M47TU (E46/E83) ADR,DDE5 M47TU (E46/E83) FACT_A,DDE5 M47TU (E46/E83) FACT_B,DDE6 M47TU2 (E90) ADR,DDE6 M47TU2 (E90) FACT_A,DDE6 M47TU2 (E90) FACT_B
LAMBDA/O2,LSUCD_rO2PresComp,-,,,,,,,0x14C7,0.000010,0.000000,,,,,,,,,,,,,0x14C7,0.000010,0.000000,,,
LAMBDA/O2,LSUCD_rO2Raw,-,,,,,,,0x14C8,0.000010,0.000000,,,,,,,,,,,,,0x14C8,0.000010,0.000000,,,
LAMBDA/O2,LSUCD_rO2Raw[0],-,,,,,,,,,,,,,0x180A,0.000009,-0.299986,0x180A,0.000009,-0.299986,,,,,,,0x180A,0.000009,-0.299986
LAMBDA/O2,LSUCD_stAdpt[0],-,,,,,,,,,,,,,0x1808,1.000000,0.000000,0x1808,1.000000,0.000000,,,,,,,0x1808,1.000000,0.000000
LAMBDA/O2,LSUCD_stO2Valid,-,,,,,,,0x1540,1.000000,0.000000,,,,,,,,,,,,,0x1540,1.000000,0.000000,,,
LAMBDA/O2,LSUCD_stO2Valid[0],-,,,,,,,,,,,,,0x1809,1.000000,0.000000,0x1809,1.000000,0.000000,,,,,,,0x1809,1.000000,0.000000
LAMBDA/O2,LSUCD_uO2Raw,mV,,,,,,,0x14C9,0.610958,0.000000,,,,,,,,,,,,,0x14C9,0.610958,0.000000,,,
LAMBDA/O2,LSUCD_uO2Raw[0],mV,,,,,,,,,,,,,0x180B,0.610958,0.000000,0x180B,0.610958,0.000000,,,,,,,0x180B,0.610958,0.000000
LAMBDA/O2,LSU_rLmbd,-,,,,,,,0x14C2,0.001000,0.000000,,,,,,,,,,,,,0x14C2,0.001000,0.000000,,,
LAMBDA/O2,LSU_rLmbd[0],-,,,,,,,,,,,,,0x181A,0.000610,0.000000,0x181A,0.000610,0.000000,,,,,,,0x181A,0.000610,0.000000
LAMBDA/O2,LSU_rO2Adpt[0],-,,,,,,,,,,,,,0x00BD,0.000009,-0.299986,0x00BD,0.000009,-0.299986,,,,,,,0x00BD,0.000009,-0.299986
LAMBDA/O2,LSU_rO2Calc_mp,-,,,,,,,0x14C3,0.000010,0.000000,,,,,,,,,,,,,0x14C3,0.000010,0.000000,,,
LAMBDA/O2,LSU_stO2Err_mp,-,,,,,,,0x14C4,1.000000,0.000000,,,,,,,,,,,,,0x14C4,1.000000,0.000000,,,
LAMBDA/O2,OxiCCD_sttPreRec_mp,-,,,,,,,,,,,,,0x186A,1.000000,0.000000,0x186A,1.000000,0.000000,,,,,,,,,
LAMBDA/O2,OxiCCD_tPre,deg C,,,,0x009B,-50.138440,0,0x00A0,0.016787,-50.138440,0x009B,-50.138440,0,0x00C2,1.000244,-51.085797,0x00C2,1.000244,-51.085797,0x009B,-50.138440,0,0x00A0,0.016787,-50.138440,0x00C2,1.000244,-51.085797
LAMBDA/O2,PCBS_lSumDPFChng_mp,km,,,,,,,,,,,,,0x187F,10.000000,0.000000,0x187F,10.000000,0.000000,,,,,,,,,
LAMBDA/O2,PFlt_ctOvldHealObsNO2_mp,-,,,,,,,,,,,,,0x007E,1.000000,0.000000,0x007E,1.000000,0.000000,,,,,,,0x007E,1.000000,0.000000
LAMBDA/O2,PFlt_dmNO2Tot_mp,mg/s,,,,,,,,,,,,,0x195F,0.010000,0.000000,0x195F,0.010000,0.000000,,,,,,,0x195F,0.010000,0.000000
LAMBDA/O2,PFlt_dmO2Aprx,Kg/h,,,,,,,,,,,,,0x1962,0.048829,-1599.971484,0x1962,0.048829,-1599.971484,,,,,,,0x1962,0.048829,-1599.971484
LAMBDA/O2,PFlt_lSumRgnBck0_mp,m,,,,,,,,,,,,,0x19A7,8192.000839,0.000000,0x19A7,8192.000839,0.000000,,,,,,,,,
LAMBDA/O2,PFlt_lSumRgnBck1_mp,m,,,,,,,,,,,,,0x19A8,8192.000839,0.000000,0x19A8,8192.000839,0.000000,,,,,,,,,
LAMBDA/O2,PFlt_lSumRgnBck2_mp,m,,,,,,,,,,,,,0x19A9,8192.000839,0.000000,0x19A9,8192.000839,0.000000,,,,,,,,,
LAMBDA/O2,PFlt_lSumRgnBck3_mp,m,,,,,,,,,,,,,0x19AA,8192.000839,0.000000,0x19AA,8192.000839,0.000000,,,,,,,,,
LAMBDA/O2,PFlt_lSumRgnBck4_mp,m,,,,,,,,,,,,,0x19AB,8192.000839,0.000000,0x19AB,8192.000839,0.000000,,,,,,,,,
LAMBDA/O2,PFlt_lSum_mp,m,,,,0x0053,0.000000,0,0x0053,1.000000,0.000000,0x0053,0.000000,0,0x1906,8192.000839,0.000000,0x1906,8192.000839,0.000000,0x0053,0.000000,0,0x0053,1.000000,0.000000,0x1906,8192.000839,0.000000
LAMBDA/O2,PFlt_tOxiPre,deg C,,,,,,,0x14CB,0.016787,-50.138440,,,,0x1953,1.000244,-51.085797,0x1953,1.000244,-51.085797,,,,0x14CB,0.016787,-50.138440,0x1953,1.000244,-51.085797
LAMBDA/O2,PFlt_tOxiPreSty,deg C,,,,,,,0x14CC,0.016787,-50.138440,,,,,,,,,,,,,0x14CC,0.016787,-50.138440,,,
OTHER,ACCD_rDigOut_mp,-,,,,,,,0x00E7,1.000000,0.000000,,,,,,,,,,0x00E7,0.000000,0,0x00E7,1.000000,0.000000,,,
OTHER,ACCD_stACPresent,-,,,,0x00E5,0.000000,0,0x146D,1.000000,0.000000,0x00E5,0.000000,0,0x1392,1.000000,0.000000,0x1392,1.000000,0.000000,0x00E5,0.000000,0,0x146D,1.000000,0.000000,0x1392,1.000000,0.000000
OTHER,ACCtl_stLogicOut,-,,,,,,,0x1514,1.000000,0.000000,,,,,,,,,,0x003D,0.000000,0,0x1514,1.000000,0.000000,,,
OTHER,ACCtl_stShutOff_mp,-,,,,,,,0x1515,1.000000,0.000000,,,,,,,,,,0x0046,0.000000,0,0x1515,1.000000,0.000000,,,
OTHER,ACCtl_stShutOff_mp1,,,,,,,,,,,,,,,,,,,,0x0047,0.000000,0,,,,,,
OTHER,AOHtCD_rOut,%,,,,,,,,,,,,,0x0085,0.010000,0.000000,0x0085,0.010000,0.000000,,,,,,,0x0085,0.010000,0.000000
OTHER,AOHtCD_rOut_mp,%,,,,0x00E9,0.000000,0,0x00E9,0.010000,0.000000,0x00E9,0.000000,0,,,,,,,0x00E9,0.000000,0,0x00E9,0.010000,0.000000,,,
OTHER,AOHtCD_stHeater_mp,-,,,,,,,,,,,,,0x13B1,1.000000,0.000000,0x13B1,1.000000,0.000000,,,,,,,0x13B1,1.000000,0.000000
OTHER,AOHt_stShutOff_mp,-,,,,0x0099,0.000000,0,0x1421,1.000000,0.000000,0x0099,0.000000,0,0x13B0,1.000000,0.000000,0x13B0,1.000000,0.000000,0x0099,0.000000,0,0x1421,1.000000,0.000000,0x13B0,1.000000,0.000000
OTHER,Absch_korr,-,,,,,,,,,,,,,0x00F0,0.004579,-100.022880,0x00F0,0.004579,-100.022880,,,,,,,0x00F0,0.004579,-100.022880
OTHER,AccPed_rChkdVal,%,,,,,,,0x14B4,0.003052,0.000000,,,,,,,,,,,,,0x14B4,0.003052,0.000000,,,
OTHER,AddPCD_stCo_mp,,,,,0x003E,0.000000,0,,,,0x003E,0.000000,0,,,,,,,0x003E,0.000000,0,,,,,,
OTHER,AddPCD_volAddTot,,,,,0x00AE,0.000000,0,,,,0x00AE,0.000000,0,,,,,,,0x00AE,0.000000,0,,,,,,
OTHER,AddPCD_volAddTotFine_mp,,,,,0x003F,0.000000,0,,,,0x003F,0.000000,0,,,,,,,0x003F,0.000000,0,,,,,,
OTHER,AddPmp_volAddTotDem,,,,,0x0040,0.000000,0,,,,0x0040,0.000000,0,,,,,,,0x0040,0.000000,0,,,,,,
OTHER,AltCD_rAltLoad,%,,,,0x0082,0.000000,0,0x0082,0.003052,0.000000,0x0082,0.000000,0,0x008E,0.003052,0.000000,0x008E,0.003052,0.000000,0x0082,0.000000,0,0x0082,0.003052,0.000000,0x008E,0.003052,0.000000
OTHER,BPACD_rAktPos,%,,,,,,,,,,,,,0x0088,0.003052,0.000000,0x0088,0.003052,0.000000,,,,,,,0x0088,0.003052,0.000000
OTHER,BPACD_rOut,%,,,,0x007B,0.000000,0,0x007B,0.010000,0.000000,0x007B,0.000000,0,0x008F,0.010000,0.000000,0x008F,0.010000,0.000000,0x007B,0.000000,0,0x007B,0.010000,0.000000,0x008F,0.010000,0.000000
OTHER,BrkCD_ctUnPlaus_mp,-,,,,,,,,,,,,,0x13EE,1.000000,0.000000,0x13EE,1.000000,0.000000,,,,,,,0x13EE,1.000000,0.000000
OTHER,BrkCD_pLinsubpress,hPa,,,,,,,,,,,,,0x1F54,0.125002,0.000000,0x1F54,0.125002,0.000000,,,,,,,,,
OTHER,BrkCD_stMnSwtRawVal,-,,,,0x005C,0.000000,0,0x13E4,1.000000,0.000000,0x005C,0.000000,0,0x13EC,1.000000,0.000000,0x13EC,1.000000,0.000000,0x005C,0.000000,0,0x13E4,1.000000,0.000000,0x13EC,1.000000,0.000000
OTHER,BrkCD_stRedSwtRawVal,-,,,,0x005D,0.000000,0,0x13E5,1.000000,0.000000,0x005D,0.000000,0,0x13ED,1.000000,0.000000,0x13ED,1.000000,0.000000,0x005D,0.000000,0,0x13E5,1.000000,0.000000,0x13ED,1.000000,0.000000
OTHER,BrkCD_tiDebTmrPlaus_mp,ms,,,,0x00F8,0.000000,0,0x1480,10.000000,0.000000,0x00F8,0.000000,0,,,,,,,0x00F8,0.000000,0,0x1480,10.000000,0.000000,,,
OTHER,BrkCD_uRawsubpress,mV,,,,,,,,,,,,,0x1F55,0.610958,0.000000,0x1F55,0.610958,0.000000,,,,,,,,,
OTHER,CBACD_stLogicOut_mp,-,,,,,,,,,,,,,0x0094,1.000000,0.000000,0x0094,1.000000,0.000000,,,,,,,0x0094,1.000000,0.000000
OTHER,Clg_dtDynTst,deg C,,,,0x0075,0.000000,0,0x13FD,0.100000,0.000000,0x0075,0.000000,0,0x13FD,0.012500,-50.000763,0x13FD,0.012500,-50.000763,0x0075,232.055693,0,0x13FD,0.100000,0.000000,0x13FD,0.012500,-50.000763
OTHER,Clg_tEndDynTst,deg C,,,,0x0077,-41.084307,0,0x13FF,1.000240,-41.084307,0x0077,-41.084307,0,0x13FF,0.016787,-50.138440,0x13FF,0.016787,-50.138440,0x0077,-41.084307,0,0x13FF,1.000240,-41.084307,0x13FF,0.016787,-50.138440
OTHER,Clg_tiDynTst,s,,,,0x0074,0.000000,0,0x13FC,0.010000,0.000000,0x0074,0.000000,0,0x13FC,0.999024,0.000000,0x13FC,0.999024,0.000000,0x0074,0.000000,0,0x13FC,0.010000,0.000000,0x13FC,0.999024,0.000000
OTHER,ConvCD_stRawVal,-,,,,0x005E,0.000000,0,0x13E6,1.000000,0.000000,0x005E,0.000000,0,0x146E,1.000000,0.000000,0x146E,1.000000,0.000000,0x005E,0.000000,0,0x13E6,1.000000,0.000000,0x146E,1.000000,0.000000
OTHER,CpBVlv_stOpn,-,,,,,,,,,,,,,0x1478,1.000000,0.000000,0x1478,1.000000,0.000000,,,,,,,0x1478,1.000000,0.000000
OTHER,CrCCD_stKey,-,,,,0x00D0,0.000000,0,0x1458,1.000000,0.000000,0x00D0,0.000000,0,0x1482,1.000000,0.000000,0x1482,1.000000,0.000000,0x00D0,0.000000,0,0x1458,1.000000,0.000000,0x1482,1.000000,0.000000
OTHER,CrCtl_numGear,-,,,,0x008D,0.000000,0,0x1415,1.000000,0.000000,0x008D,0.000000,0,0x148C,1.000000,0.000000,0x148C,1.000000,0.000000,0x008D,0.000000,0,0x1415,1.000000,0.000000,0x148C,1.000000,0.000000
OTHER,CrCtl_stShutOffCode1_mp,-,,,,0x00F0,0.000000,0,0x1478,1.000000,0.000000,0x00F0,0.000000,0,0x148E,1.000000,0.000000,0x148E,1.000000,0.000000,0x00F0,0.000000,0,0x1478,1.000000,0.000000,0x148E,1.000000,0.000000
OTHER,CrCtl_stShutOffCode1_mp1,-,,,,0x00F1,0.000000,0,0x1479,1.000000,0.000000,0x00F1,0.000000,0,,,,,,,0x00F1,0.000000,0,0x1479,1.000000,0.000000,,,
OTHER,CrCtl_stShutOffCode2_mp,-,,,,0x00F2,0.000000,0,0x147A,1.000000,0.000000,0x00F2,0.000000,0,0x148F,1.000000,0.000000,0x148F,1.000000,0.000000,0x00F2,0.000000,0,0x147A,1.000000,0.000000,0x148F,1.000000,0.000000
OTHER,CrCtl_stShutOffCode2_mp1,-,,,,0x00F3,0.000000,0,0x147B,1.000000,0.000000,0x00F3,0.000000,0,,,,,,,0x00F3,0.000000,0,0x147B,1.000000,0.000000,,,
OTHER,CrCtl_stShutOffFrz1_mp,-,,,,0x00F4,0.000000,0,0x147C,1.000000,0.000000,0x00F4,0.000000,0,0x1490,1.000000,0.000000,0x1490,1.000000,0.000000,0x00F4,0.000000,0,0x147C,1.000000,0.000000,0x1490,1.000000,0.000000
OTHER,CrCtl_stShutOffFrz1_mp1,-,,,,0x00F5,0.000000,0,0x147D,1.000000,0.000000,0x00F5,0.000000,0,,,,,,,0x00F5,0.000000,0,0x147D,1.000000,0.000000,,,
OTHER,CrCtl_stShutOffFrz2_mp,-,,,,0x00F6,0.000000,0,0x147E,1.000000,0.000000,0x00F6,0.000000,0,0x1491,1.000000,0.000000,0x1491,1.000000,0.000000,0x00F6,0.000000,0,0x147E,1.000000,0.000000,0x1491,1.000000,0.000000
OTHER,CrCtl_stShutOffFrz2_mp1,-,,,,0x00F7,0.000000,0,0x147F,1.000000,0.000000,0x00F7,0.000000,0,,,,,,,0x00F7,0.000000,0,0x147F,1.000000,0.000000,,,
OTHER,CrCtl_vDes,km/h,,,,0x0083,0.000000,0,0x140B,0.003815,0.000000,0x0083,0.000000,0,0x1493,0.003815,0.000000,0x1493,0.003815,0.000000,0x0083,0.000000,0,0x140B,0.003815,0.000000,0x1493,0.003815,0.000000
OTHER,DSMDur_ctDfctDur1,-,,,,0x00D7,0.000000,0,0x145F,1.000000,0.000000,0x00D7,0.000000,0,0x14B4,1.000000,0.000000,0x14B4,1.000000,0.000000,0x00D7,0.000000,0,0x145F,1.000000,0.000000,0x14B4,1.000000,0.000000
OTHER,DSMDur_ctDfctDur11,,,,,0x0021,0.000000,0,,,,0x0021,0.000000,0,,,,,,,0x0021,0.000000,0,,,,,,
OTHER,DSMDur_ctDfctDur1_Carb,-,,,,,,,0x0021,1.000000,0.000000,,,,0x0021,1.000000,0.000000,0x0021,1.000000,0.000000,,,,0x0021,1.000000,0.000000,0x0021,1.000000,0.000000
OTHER,DSMDur_ctDfctDur2,-,,,,0x00D8,0.000000,0,0x1460,1.000000,0.000000,0x00D8,0.000000,0,0x14B5,1.000000,0.000000,0x14B5,1.000000,0.000000,0x00D8,0.000000,0,0x1460,1.000000,0.000000,0x14B5,1.000000,0.000000
OTHER,DSMDur_stGlobalDefCnt_mp,-,,,,0x00D9,0.000000,0,0x1461,1.000000,0.000000,0x00D9,0.000000,0,0x14B6,1.000000,0.000000,0x14B6,1.000000,0.000000,0x00D9,0.000000,0,0x1461,1.000000,0.000000,0x14B6,1.000000,0.000000
OTHER,DSM_ctOBDPath,-,,,,0x0080,0.000000,0,0x1408,1.000000,0.000000,0x0080,0.000000,0,0x14B7,1.000000,0.000000,0x14B7,1.000000,0.000000,0x0080,0.000000,0,0x1408,1.000000,0.000000,0x14B7,1.000000,0.000000
OTHER,DSM_ctRdyActCyc_mp,-,,,,0x0089,0.000000,0,0x1411,1.000000,0.000000,0x0089,0.000000,0,0x14B8,1.000000,0.000000,0x14B8,1.000000,0.000000,0x0089,0.000000,0,0x1411,1.000000,0.000000,0x14B8,1.000000,0.000000
OTHER,DSM_ctRdyTstCompr_mp,-,,,,0x008B,0.000000,0,0x1413,1.000000,0.000000,0x008B,0.000000,0,0x14B9,1.000000,0.000000,0x14B9,1.000000,0.000000,0x008B,0.000000,0,0x1413,1.000000,0.000000,0x14B9,1.000000,0.000000
OTHER,DSM_ctRdyTstMisf_mp,-,,,,0x0098,0.000000,0,0x1420,1.000000,0.000000,0x0098,0.000000,0,0x14BC,1.000000,0.000000,0x14BC,1.000000,0.000000,0x0098,0.000000,0,0x1420,1.000000,0.000000,0x14BC,1.000000,0.000000
OTHER,DSM_ctTstPath,-,,,,0x0087,0.000000,0,0x140F,1.000000,0.000000,,,,0x14BD,1.000000,0.000000,0x14BD,1.000000,0.000000,,,,0x140F,1.000000,0.000000,0x14BD,1.000000,0.000000
OTHER,DSM_ctTstPath_mp,,,,,,,,,,,0x0087,0.000000,0,,,,,,,0x0087,0.000000,0,,,,,,
OTHER,DSM_stCycles,-,,,,0x0085,0.000000,0,0x140D,1.000000,0.000000,0x0085,0.000000,0,0x14BE,1.000000,0.000000,0x14BE,1.000000,0.000000,0x0085,0.000000,0,0x140D,1.000000,0.000000,0x14BE,1.000000,0.000000
OTHER,DSM_stMIL,-,,,,0x002A,0.000000,0,0x13B2,1.000000,0.000000,0x002A,0.000000,0,0x14BF,1.000000,0.000000,0x14BF,1.000000,0.000000,0x002A,0.000000,0,0x13B2,1.000000,0.000000,0x14BF,1.000000,0.000000
OTHER,DSM_stRdyAB,-,,,,0x009C,0.000000,0,0x1424,1.000000,0.000000,0x009C,0.000000,0,0x14C0,1.000000,0.000000,0x14C0,1.000000,0.000000,0x009C,0.000000,0,0x1424,1.000000,0.000000,0x14C0,1.000000,0.000000
OTHER,DSM_stRdyCD,-,,,,0x00CD,0.000000,0,0x1455,1.000000,0.000000,0x00CD,0.000000,0,0x14C1,1.000000,0.000000,0x14C1,1.000000,0.000000,0x00CD,0.000000,0,0x1455,1.000000,0.000000,0x14C1,1.000000,0.000000
OTHER,DSM_tiDCDelay_mp,-,,,,0x0086,0.000000,0,0x140E,1.000000,0.000000,0x0086,0.000000,0,0x14C3,1.000000,0.000000,0x14C3,1.000000,0.000000,0x0086,0.000000,0,0x140E,8196.721311,0.000000,0x14C3,1.000000,0.000000
OTHER,D_soc,-,,,,,,,,,,,,,0x00F1,0.004578,-100.004574,0x00F1,0.004578,-100.004574,,,,,,,0x00F1,0.004578,-100.004574
OTHER,Dfh_lerncnt,-,,,,,,,,,,,,,0x14AA,240.941155,0.000000,0x14AA,240.941155,0.000000,,,,,,,,,
OTHER,Dfh_lernpw,W,,,,,,,,,,,,,0x14AB,0.100000,0.000000,0x14AB,0.100000,0.000000,,,,,,,,,
OTHER,Dfh_pekpf,W,,,,,,,,,,,,,0x007B,0.100000,0.000000,0x007B,0.100000,0.000000,,,,,,,,,
OTHER,DfpErrCol_mp,-,,,,,,,0x14B9,1.000000,0.000000,,,,,,,,,,,,,0x14B9,1.000000,0.000000,,,
OTHER,EBAFCD_stSigOut,-,,,,0x0062,0.000000,0,0x00AE,1.000000,0.000000,0x0062,0.000000,0,0x0098,1.000000,0.000000,0x0098,1.000000,0.000000,0x0062,0.000000,0,0x00AE,1.000000,0.000000,0x0098,1.000000,0.000000
OTHER,EBTSCD_tECU,deg C,,,,,,,,,,,,,0x14E6,0.016787,-50.138440,0x14E6,0.016787,-50.138440,,,,,,,0x14E6,0.016787,-50.138440
OTHER,ECBCD_stOut,-,,,,,,,,,,,,,0x1BBC,1.000000,0.000000,0x1BBC,1.000000,0.000000,,,,,,,0x1BBC,1.000000,0.000000
OTHER,EGPpCD_stActrOut,-,,,,,,,,,,,,,0x00EA,1.000000,0.000000,0x00EA,1.000000,0.000000,,,,,,,0x00EA,1.000000,0.000000
OTHER,EGSys_tEGPstTrbn,deg C,,,,,,,0x14BA,0.016787,-50.138440,,,,,,,,,,,,,0x14BA,0.016787,-50.138440,,,
OTHER,EGSys_tEGPstTube,deg C,,,,,,,0x14BB,0.016787,-50.138440,,,,,,,,,,,,,0x14BB,0.016787,-50.138440,,,
OTHER,EGSys_tTube,deg C,,,,,,,0x14BC,0.016787,-50.138440,,,,,,,,,,,,,0x14BC,0.016787,-50.138440,,,
OTHER,ETClb_ctLrn_mp[0],-,,,,,,,0x148E,1.000000,0.000000,,,,0x152C,1.000000,0.000000,0x152C,1.000000,0.000000,,,,0x148E,1.000000,0.000000,0x152C,1.000000,0.000000
OTHER,ETClb_ctLrn_mp[1],-,,,,,,,0x1495,1.000000,0.000000,,,,0x152D,1.000000,0.000000,0x152D,1.000000,0.000000,,,,0x1495,1.000000,0.000000,0x152D,1.000000,0.000000
OTHER,ETClb_ctLrn_mp[2],-,,,,,,,0x149C,1.000000,0.000000,,,,0x152E,1.000000,0.000000,0x152E,1.000000,0.000000,,,,0x149C,1.000000,0.000000,0x152E,1.000000,0.000000
OTHER,ETClb_dtiETFlt0_mp[0],us,,,,,,,0x148F,0.152594,0.000000,,,,0x152F,0.152594,-5000.041963,0x152F,0.152594,-5000.041963,,,,0x148F,0.152594,-5000.041963,0x152F,0.152594,-5000.041963
OTHER,ETClb_dtiETFlt0_mp[1],us,,,,,,,0x1490,0.152594,0.000000,,,,0x1530,0.152594,-5000.041963,0x1530,0.152594,-5000.041963,,,,0x1490,0.152594,-5000.041963,0x1530,0.152594,-5000.041963
OTHER,ETClb_dtiETFlt0_mp[2],us,,,,,,,0x1491,0.152594,0.000000,,,,0x1531,0.152594,-5000.041963,0x1531,0.152594,-5000.041963,,,,0x1491,0.152594,-5000.041963,0x1531,0.152594,-5000.041963
OTHER,ETClb_dtiETFlt0_mp[3],us,,,,,,,0x1492,0.152594,0.000000,,,,0x1532,0.152594,-5000.041963,0x1532,0.152594,-5000.041963,,,,0x1492,0.152594,-5000.041963,0x1532,0.152594,-5000.041963
OTHER,ETClb_dtiETFlt0_mp[4],us,,,,,,,0x1493,0.152594,0.000000,,,,0x1533,0.152594,-5000.041963,0x1533,0.152594,-5000.041963,,,,0x1493,0.152594,-5000.041963,0x1533,0.152594,-5000.041963
OTHER,ETClb_dtiETFlt0_mp[5],us,,,,,,,0x1494,0.152594,0.000000,,,,0x1534,0.152594,-5000.041963,0x1534,0.152594,-5000.041963,,,,0x1494,0.152594,-5000.041963,0x1534,0.152594,-5000.041963
OTHER,ETClb_dtiETFlt1_mp[0],us,,,,,,,0x1496,0.152594,0.000000,,,,0x1537,0.152594,-5000.041963,0x1537,0.152594,-5000.041963,,,,0x1496,0.152594,-5000.041963,0x1537,0.152594,-5000.041963
OTHER,ETClb_dtiETFlt1_mp[1],us,,,,,,,0x1497,0.152594,0.000000,,,,0x1538,0.152594,-5000.041963,0x1538,0.152594,-5000.041963,,,,0x1497,0.152594,-5000.041963,0x1538,0.152594,-5000.041963
OTHER,ETClb_dtiETFlt1_mp[2],us,,,,,,,0x1498,0.152594,0.000000,,,,0x1539,0.152594,-5000.041963,0x1539,0.152594,-5000.041963,,,,0x1498,0.152594,-5000.041963,0x1539,0.152594,-5000.041963
OTHER,ETClb_dtiETFlt1_mp[3],us,,,,,,,0x1499,0.152594,0.000000,,,,0x153A,0.152594,-5000.041963,0x153A,0.152594,-5000.041963,,,,0x1499,0.152594,-5000.041963,0x153A,0.152594,-5000.041963
OTHER,ETClb_dtiETFlt1_mp[4],us,,,,,,,0x149A,0.152594,0.000000,,,,0x153B,0.152594,-5000.041963,0x153B,0.152594,-5000.041963,,,,0x149A,0.152594,-5000.041963,0x153B,0.152594,-5000.041963
OTHER,ETClb_dtiETFlt1_mp[5],us,,,,,,,0x149B,0.152594,0.000000,,,,0x153C,0.152594,-5000.041963,0x153C,0.152594,-5000.041963,,,,0x149B,0.152594,-5000.041963,0x153C,0.152594,-5000.041963
OTHER,ETClb_dtiETFlt2_mp[0],us,,,,,,,0x149D,0.152594,0.000000,,,,0x153F,0.152594,-5000.041963,0x153F,0.152594,-5000.041963,,,,0x149D,0.152594,-5000.041963,0x153F,0.152594,-5000.041963
OTHER,ETClb_dtiETFlt2_mp[1],us,,,,,,,0x149E,0.152594,0.000000,,,,0x1540,0.152594,-5000.041963,0x1540,0.152594,-5000.041963,,,,0x149E,0.152594,-5000.041963,0x1540,0.152594,-5000.041963
OTHER,ETClb_dtiETFlt2_mp[2],us,,,,,,,0x149F,0.152594,0.000000,,,,0x1541,0.152594,-5000.041963,0x1541,0.152594,-5000.041963,,,,0x149F,0.152594,-5000.041963,0x1541,0.152594,-5000.041963
OTHER,ETClb_dtiETFlt2_mp[3],us,,,,,,,0x14A0,0.152594,0.000000,,,,0x1542,0.152594,-5000.041963,0x1542,0.152594,-5000.041963,,,,0x14A0,0.152594,-5000.041963,0x1542,0.152594,-5000.041963
OTHER,ETClb_dtiETFlt2_mp[4],us,,,,,,,0x14A1,0.152594,0.000000,,,,0x1543,0.152594,-5000.041963,0x1543,0.152594,-5000.041963,,,,0x14A1,0.152594,-5000.041963,0x1543,0.152594,-5000.041963
OTHER,ETClb_dtiETFlt2_mp[5],us,,,,,,,0x14A2,0.152594,0.000000,,,,0x1544,0.152594,-5000.041963,0x1544,0.152594,-5000.041963,,,,0x14A2,0.152594,-5000.041963,0x1544,0.152594,-5000.041963
OTHER,ETClb_stCor,-,,,,,,,0x148C,1.000000,0.000000,,,,0x1547,1.000000,0.000000,0x1547,1.000000,0.000000,,,,0x148C,1.000000,0.000000,0x1547,1.000000,0.000000
OTHER,ETClb_stRlsCylCor_mp,-,,,,,,,0x148D,1.000000,0.000000,,,,0x1548,1.000000,0.000000,0x1548,1.000000,0.000000,,,,0x148D,1.000000,0.000000,0x1548,1.000000,0.000000
OTHER,ETClb_st_mp,-,,,,,,,0x1518,1.000000,0.000000,,,,0x1549,1.000000,0.000000,0x1549,1.000000,0.000000,,,,0x1518,1.000000,0.000000,0x1549,1.000000,0.000000
OTHER,ETClb_swtQckClb_mp,-,,,,,,,0x1519,1.000000,0.000000,,,,0x154A,1.000000,0.000000,0x154A,1.000000,0.000000,,,,0x1519,1.000000,0.000000,0x154A,1.000000,0.000000
OTHER,ETClb_tiETMinEff_mp[0],us,,,,,,,0x151A,0.152594,0.000000,,,,0x154B,0.152594,-5000.041963,0x154B,0.152594,-5000.041963,,,,0x151A,0.152594,-5000.041963,0x154B,0.152594,-5000.041963
OTHER,ETClb_tiETMinEff_mp[1],us,,,,,,,0x151B,0.152594,0.000000,,,,0x154C,0.152594,-5000.041963,0x154C,0.152594,-5000.041963,,,,0x151B,0.152594,-5000.041963,0x154C,0.152594,-5000.041963
OTHER,ETClb_tiETMinEff_mp[2],us,,,,,,,0x151C,0.152594,0.000000,,,,0x154D,0.152594,-5000.041963,0x154D,0.152594,-5000.041963,,,,0x151C,0.152594,-5000.041963,0x154D,0.152594,-5000.041963
OTHER,Eep_cntDefBlk,-,,,,,,,,,,,,,0x1504,1.000000,0.000000,0x1504,1.000000,0.000000,,,,,,,0x1504,1.000000,0.000000
OTHER,Eep_cntReInitBlk,-,,,,,,,,,,,,,0x1505,1.000000,0.000000,0x1505,1.000000,0.000000,,,,,,,0x1505,1.000000,0.000000
