Category,Bosch Name,Unit,DDE4 M57 (E39) ADR,DDE4 M57 (E39) FACT_A,DDE4 M57 (E39) FACT_B,DDE5 M57TU (E39/E46) ADR,DDE5 M57TU (E39/E46) FACT_A,DDE5 M57TU (E39/E46) FACT_B,DDE5 M57TU (E53) ADR,DDE5 M57TU (E53) FACT_A,DDE5 M57TU (E53) FACT_B,DDE5 M57TU (E60) ADR,DDE5 M57TU (E60) FACT_A,DDE5 M57TU (E60) FACT_B,DDE6 M57TU2 (E60/E90) ADR,DDE6 M57TU2 (E60/E90) FACT_A,DDE6 M57TU2 (E60/E90) FACT_B,DDE6.2 M57TU2TOP ADR,DDE6.2 M57TU2TOP FACT_A,DDE6.2 M57TU2TOP FACT_B,DDE5 M47TU (E46) ADR,DDE5 M47TU (E46) FACT_A,DDE5 M47TU (E46) FACT_B,DDE5 M47TU (E46/E83) ADR,DDE5 M47TU (E46/E83) FACT_A,DDE5 M47TU (E46/E83) FACT_B,DDE6 M47TU2 (E90) ADR,DDE6 M47TU2 (E90) FACT_A,DDE6 M47TU2 (E90) FACT_B
BOOST/AIR,AirSys_mLHFM2_mp,Kg/h,,,,,,,,,,,,,0x1433,0.100000,0.000000,0x1433,0.100000,0.000000,,,,,,,,,
BOOST/AIR,AirSys_mLM10_mp,Kg/h,,,,,,,,,,,,,0x1427,0.100000,0.000000,0x1427,0.100000,0.000000,,,,,,,0x1427,0.100000,0.000000
BOOST/AIR,AirSys_mLM11_mp,Kg/h,,,,,,,,,,,,,0x1428,0.100000,0.000000,0x1428,0.100000,0.000000,,,,,,,0x1428,0.100000,0.000000
BOOST/AIR,AirSys_mLM12_mp,Kg/h,,,,,,,,,,,,,0x1429,0.100000,0.000000,0x1429,0.100000,0.000000,,,,,,,0x1429,0.100000,0.000000
BOOST/AIR,AirSys_mLM13_mp,Kg/h,,,,,,,,,,,,,0x142A,0.100000,0.000000,0x142A,0.100000,0.000000,,,,,,,0x142A,0.100000,0.000000
BOOST/AIR,AirSys_mLM20_mp,Kg/h,,,,,,,,,,,,,0x142B,0.100000,0.000000,0x142B,0.100000,0.000000,,,,,,,0x142B,0.100000,0.000000
BOOST/AIR,AirSys_mLM21_mp,Kg/h,,,,,,,,,,,,,0x142C,0.100000,0.000000,0x142C,0.100000,0.000000,,,,,,,0x142C,0.100000,0.000000
BOOST/AIR,AirSys_mLM22_mp,Kg/h,,,,,,,,,,,,,0x142D,0.100000,0.000000,0x142D,0.100000,0.000000,,,,,,,0x142D,0.100000,0.000000
BOOST/AIR,AirSys_p21max1_mp,hPa,,,,,,,,,,,,,0x1430,0.125002,0.000000,0x1430,0.125002,0.000000,,,,,,,,,
BOOST/AIR,AirSys_p21max2_mp,hPa,,,,,,,,,,,,,0x1431,0.125002,0.000000,0x1431,0.125002,0.000000,,,,,,,,,
BOOST/AIR,AirSys_rDIFF1_mp,-,,,,,,,,,,,,,0x1425,0.012500,-409.593746,0x1425,0.012500,-409.593746,,,,,,,0x1425,0.012500,-409.593746
BOOST/AIR,AirSys_rDIFF2_mp,-,,,,,,,,,,,,,0x1426,0.012500,-409.593746,0x1426,0.012500,-409.593746,,,,,,,0x1426,0.012500,-409.593746
BOOST/AIR,AirSys_rLverh1_mp,-,,,,,,,,,,,,,0x1436,0.010000,0.000000,0x1436,0.010000,0.000000,,,,,,,,,
